Series_Title,Released_Year,Genre,IMDB_Rating
Django Unchained,2012,"Drama, Western",8.4
The Dark Knight Rises,2012,"Action, Adventure",8.4
Jagten,2012,Drama,8.3
Gangs of Wasseypur,2012,"Action, Comedy, Crime",8.2
Paan Singh Tomar,2012,"Action, Biography, Crime",8.2
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",8.1
Barfi!,2012,"Comedy, Drama, Romance",8.1
Kahaani,2012,"Mystery, Thriller",8.1
The Perks of Being a Wallflower,2012,"Drama, Romance",8.0
The Avengers,2012,"Action, Adventure, Sci-Fi",8.0
Amour,2012,"Drama, Romance",7.9
Life of Pi,2012,"Adventure, Drama, Fantasy",7.9
Vicky Donor,2012,"Comedy, Romance",7.8
English Vinglish,2012,"Comedy, Drama, Family",7.8
Moonrise Kingdom,2012,"Comedy, Drama, Romance",7.8
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",7.8
The Broken Circle Breakdown,2012,"Drama, Music, Romance",7.7
Wreck-It Ralph,2012,"Animation, Adventure, Comedy",7.7
Skyfall,2012,"Action, Adventure, Thriller",7.7
Silver Linings Playbook,2012,"Comedy, Drama, Romance",7.7
Argo,2012,"Biography, Drama, Thriller",7.7
El cuerpo,2012,"Mystery, Thriller",7.6
End of Watch,2012,"Action, Crime, Drama",7.6
